ProGaming e-Sports,Team oNe eSports,20180310,3,1.16,N/a,4.67,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/progaming-e-sports-league-of-legends-team-one-esports-league-of-legends-xYapLp8o/
Keyd Stars,KaBuM! e-Sports,20180304,3,2.77,N/a,1.41,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/keyd-stars-league-of-legends-kabum-e-sports-league-of-legends-OUB2d1Vp/
CNB e-Sports,Team oNe eSports,20180304,3,1.49,N/a,2.51,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/cnb-e-sports-league-of-legends-team-one-esports-league-of-legends-MLPz1sNT/
paiN Gaming,ProGaming e-Sports,20180303,3,2.12,N/a,1.67,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/pain-gaming-league-of-legends-progaming-e-sports-league-of-legends-4pVV1N7N/
RED Canids,INTZ-eSports,20180303,3,1.29,N/a,3.38,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/red-canids-league-of-legends-intz-esports-league-of-legends-QgWR23hH/
ProGaming e-Sports,CNB e-Sports,20180225,3,1.21,N/a,3.84,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/progaming-e-sports-league-of-legends-cnb-e-sports-league-of-legends-WWWN3qwB/
INTZ-eSports,paiN Gaming,20180225,3,1.59,N/a,2.27,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/intz-esports-league-of-legends-pain-gaming-league-of-legends-KdTJ4PN4/
Keyd Stars,RED Canids,20180224,3,2.28,N/a,1.58,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/keyd-stars-league-of-legends-red-canids-league-of-legends-xYwF558b/
KaBuM! e-Sports,Team oNe eSports,20180224,3,1.14,N/a,5.13,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/kabum-e-sports-league-of-legends-team-one-esports-league-of-legends-bsuB6ogh/
INTZ-eSports,CNB e-Sports,20180218,3,1.50,N/a,2.48,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/intz-esports-league-of-legends-cnb-e-sports-league-of-legends-U7z77Rwn/
Team oNe eSports,RED Canids,20180218,3,3.71,N/a,1.25,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/team-one-esports-league-of-legends-red-canids-league-of-legends-jHy387Ou/
KaBuM! e-Sports,ProGaming e-Sports,20180217,3,1.48,N/a,2.55,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/kabum-e-sports-league-of-legends-progaming-e-sports-league-of-legends-jwZf0AWI/
