20180204;3;;;;Ultimate;FFQTV Gaming;0-1,1-0,1-0;Calm,Spot,Blazes,Zin,CBL:Calm,Spot,Blazes,Zin,CBL:Calm,Spot,Blazes,Zin,CBL;KingJ,Heaven,Lies (VN),Celebrity,Sergh:KingJ,Heaven,Lies (VN),Celebrity,Sergh:KingJ,Heaven,Lies (VN),Celebrity,Sergh;VN;red,red,blue;VCS Spring 2018;Ultimate,FFQTV Gaming,Ultimate
20180204;3;;;;Hall of Fame;FTV Esports;0-1,0-1;LL,Sorn,Pake,Minas,Shaoran:LL,XuHao,Pake,Minas,Shaoran;Taurus,Knight (VN),Victory,Slayder,Akeno:Taurus,Knight (VN),Victory,Slayder,Akeno;VN;red,blue;VCS Spring 2018;Hall of Fame,FTV Esports
20180204;3;1.05;N/a;8.52;Dire Wolves;Bombers;1-0,1-0;Chippys,Shernfire,Triple,K1ng,Cupcake:Chippys,Shernfire,Triple,K1ng,Cupcake;Sleeping,Seb,Looch,Tiger,Rosey:Sleeping,Seb,Looch,Tiger,Rosey;OCE;blue,red;OPL Split 1 2018;Dire Wolves,Bombers
20180204;3;;;;Avant Gaming;Legacy Esports;1-0,1-0;Pabu,Only,Frae,Blinky,Jayke:Pabu,Only,Frae,Blinky,Jayke;Mimic,Sybol,Claire,Raid,Decoy:Mimic,Sybol,Claire,Raid,Decoy;OCE;blue,red;OPL Split 1 2018;Avant Gaming,Legacy Esports
20180204;1;;;;Legatum;Isurus Gaming;0-1;Helior,Clatos,Kirito,Nothing,Caos;Nipphu,QQMore,Emp,Kindless,Newbie;LAS;red;CLS Opening 2018;Legatum
20180204;1;;;;Hafnet Esports;Dark Horse;1-0;LukasNegro,Khynm,Gambite,Kaoz,Badmilk;Hazard,Rakyl,Sonata,Tomnam,Hayha;LAS;blue;CLS Opening 2018;Hafnet Esports
20180204;1;;;;Kaos Latin Gamers;Universidad Catolica;1-0;Nate,Tierwulf,Plugo,Fix,Slow;Sunblast,Woofi,Magico,Kimi,Nekhazten;LAS;blue;CLS Opening 2018;Kaos Latin Gamers
20180204;1;;;;Furious Gaming;Rebirth Esports;0-1;Accelerator,Josedeodo,Nobody,Prodigy,Tulz;Fitz,Leozuxo,Rakyz,Warangelus,Shadow;LAS;red;CLS Opening 2018;Furious Gaming
20180204;1;;;;SuperMassive;1907 Fenerbahce;1-0;Fabfabulous,Stomaged,GBM,Zeitnot,Snowflower;Thaldrin,Chaser,Frozen,Padden,Zergsting;TR;blue;TCL Spring 2018;SuperMassive
20180204;1;;;;Dark Passage;Team Aurora;0-1;Marshall,Kakao,Lucete,Ruvelius,Japone;Panky,Wisdom,Naru,Rain,Farfetch;TR;red;TCL Spring 2018;Dark Passage
20180204;1;;;;Galakticos;YouthCrew Esports;0-1;Rare,Viking,Backlund,J1mmy,Veux;Elwind,Mojito,Xico,Madness,Zzus;TR;red;TCL Spring 2018;Galakticos
20180204;1;;;;Royal Bandits;HWA Gaming;0-1;Broken Blade,Malrang,Cepted,Holyphoenix,Dumbledoge;Armut,Trix,Ninja,Achuu,Revanche;TR;red;TCL Spring 2018;Royal Bandits
20180204;3;2.27;N/a;1.59;ProGaming Esports;INTZ Esports;1-0,1-0;SkyBart,Minerva,Goku,Luskka,Professor:SkyBart,Minerva,Goku,Luskka,Professor;Ayel,Shini,Envy,Absolut,Ziriguidun:Ayel,Shini,Envy,Absolut,Ziriguidun;BR;blue,red;CBLOL Summer 2018;ProGaming Esports,INTZ Esports
20180204;3;3.60;N/a;1.26;KaBuM! Esports;Red Canids;1-0,1-0;Zantins,Ranger,dyNquedo,Titan,Riyev:Zantins,Ranger,dyNquedo,Titan,Riyev;Lep,Winged,Sky,Sacy,Cabu:Lep,Nappon,Sky,Sacy,Cabu;BR;blue,red;CBLOL Summer 2018;KaBuM! Esports,Red Canids
20180204;3;2.07;N/a;1.77;Team WE;EDward Gaming;1-0,0-1,0-1;957,Condi,xiye,Mystic,Ben:957,Condi,xiye,Mystic,Ben:957,Condi,xiye,Mystic,Ben;Ray,Haro,Scout,iBOY,Meiko:Ray,Haro,Scout,iBOY,Meiko:Ray,Haro,Scout,iBOY,Meiko;CN;blue,blue,red;LPL Spring 2018;Team WE,EDward Gaming,Team WE
